top - 15:58:38 up  2:09,  1 user,  load average: 0,38, 0,42, 0,34
Tasks: 319 total,   1 running, 312 sleeping,   6 stopped,   0 zombie
%Cpu(s): 13,2 us,  2,9 sy,  0,0 ni, 83,8 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7856,4 total,   4178,1 free,   1387,6 used,   2290,7 buff/cache
MiB Swap:   1335,2 total,   1335,2 free,      0,0 used.   6018,3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   7301 root      20   0  244240   4484   4044 S   0,0   0,1   0:00.00 xdg-permission-
   7310 root      20   0  502312  28664  19308 S   0,0   0,4   0:00.25 xdg-desktop-por
   7319 root      20   0  156108   5588   5072 S   0,0   0,1   0:00.00 dconf-service
   7325 root      20   0  248680   8636   7768 S   0,0   0,1   0:00.12 gnome-keyring-d
   7437 root      20   0   18132   3456   3224 T   0,0   0,0   0:00.00 receive_pcaps.s
   7438 root      20   0    3260    776    688 T   0,0   0,0   0:00.00 netcat
   7439 root      20   0   16880    896    828 T   0,0   0,0   0:00.09 pv
   8129 root      20   0   20744   5012   4284 S   0,0   0,1   0:00.00 sudo
   8130 root      20   0 1049604 118452  49376 S   0,0   1,5   0:19.62 python3
  10399 root      20   0       0      0      0 I   0,0   0,0   0:07.60 kworker/6:2-cgrou+
  14948 root      20   0       0      0      0 I   0,0   0,0   0:07.96 kworker/2:2-events
  15478 root      20   0       0      0      0 I   0,0   0,0   0:08.18 kworker/3:0-events
  17922 root      20   0       0      0      0 I   0,0   0,0   0:02.12 kworker/7:2-events
  23480 root      20   0       0      0      0 I   0,0   0,0   0:05.56 kworker/u16:1-eve+
  26009 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/2:0-events
  29022 christi+  20   0    3340   2028   1904 S   0,0   0,0   0:00.04 nc
  29074 root      20   0       0      0      0 I   0,0   0,0   0:00.91 kworker/4:2-events
  29079 root      20   0       0      0      0 I   0,0   0,0   0:02.73 kworker/0:1-events
  30033 root      20   0       0      0      0 I   0,0   0,0   0:02.19 kworker/6:0-cgrou+
  30306 root      20   0       0      0      0 I   0,0   0,0   0:03.69 kworker/u16:0-phy0
