n:116 mse_avg:3.42 mse_y:4.38 mse_u:1.58 mse_v:1.41 psnr_avg:42.79 psnr_y:41.71 psnr_u:46.14 psnr_v:46.63 
n:117 mse_avg:4.16 mse_y:5.43 mse_u:1.67 mse_v:1.55 psnr_avg:41.94 psnr_y:40.78 psnr_u:45.91 psnr_v:46.23 
n:118 mse_avg:4.50 mse_y:5.92 mse_u:1.70 mse_v:1.66 psnr_avg:41.59 psnr_y:40.41 psnr_u:45.84 psnr_v:45.92 
n:119 mse_avg:4.53 mse_y:5.95 mse_u:1.72 mse_v:1.64 psnr_avg:41.57 psnr_y:40.39 psnr_u:45.77 psnr_v:45.98 
n:120 mse_avg:3.48 mse_y:4.42 mse_u:1.66 mse_v:1.51 psnr_avg:42.72 psnr_y:41.67 psnr_u:45.92 psnr_v:46.34 
n:121 mse_avg:1.45 mse_y:1.67 mse_u:1.10 mse_v:0.89 psnr_avg:46.53 psnr_y:45.90 psnr_u:47.72 psnr_v:48.63 
n:122 mse_avg:2.69 mse_y:3.43 mse_u:1.33 mse_v:1.13 psnr_avg:43.83 psnr_y:42.78 psnr_u:46.89 psnr_v:47.60 
n:123 mse_avg:2.93 mse_y:3.75 mse_u:1.40 mse_v:1.19 psnr_avg:43.45 psnr_y:42.38 psnr_u:46.68 psnr_v:47.36 
n:124 mse_avg:3.05 mse_y:3.92 mse_u:1.40 mse_v:1.21 psnr_avg:43.29 psnr_y:42.20 psnr_u:46.68 psnr_v:47.29 
n:125 mse_avg:2.58 mse_y:3.22 mse_u:1.40 mse_v:1.17 psnr_avg:44.02 psnr_y:43.05 psnr_u:46.68 psnr_v:47.44 
n:126 mse_avg:2.90 mse_y:3.68 mse_u:1.44 mse_v:1.24 psnr_avg:43.51 psnr_y:42.48 psnr_u:46.55 psnr_v:47.21 
n:127 mse_avg:3.20 mse_y:4.10 mse_u:1.49 mse_v:1.29 psnr_avg:43.09 psnr_y:42.00 psnr_u:46.41 psnr_v:47.02 
n:128 mse_avg:3.57 mse_y:4.61 mse_u:1.58 mse_v:1.43 psnr_avg:42.60 psnr_y:41.50 psnr_u:46.16 psnr_v:46.58 
n:129 mse_avg:3.78 mse_y:4.92 mse_u:1.57 mse_v:1.42 psnr_avg:42.36 psnr_y:41.21 psnr_u:46.18 psnr_v:46.62 
n:130 mse_avg:2.96 mse_y:3.70 mse_u:1.55 mse_v:1.38 psnr_avg:43.42 psnr_y:42.44 psnr_u:46.24 psnr_v:46.72 
n:131 mse_avg:4.28 mse_y:5.60 mse_u:1.71 mse_v:1.55 psnr_avg:41.82 psnr_y:40.65 psnr_u:45.81 psnr_v:46.21 
n:132 mse_avg:4.97 mse_y:6.56 mse_u:1.82 mse_v:1.77 psnr_avg:41.17 psnr_y:39.96 psnr_u:45.54 psnr_v:45.65 
n:133 mse_avg:5.36 mse_y:7.10 mse_u:1.94 mse_v:1.82 psnr_avg:40.84 psnr_y:39.62 psnr_u:45.26 psnr_v:45.53 
n:134 mse_avg:5.60 mse_y:7.44 mse_u:1.99 mse_v:1.83 psnr_avg:40.65 psnr_y:39.42 psnr_u:45.14 psnr_v:45.50 
n:135 mse_avg:4.15 mse_y:5.30 mse_u:1.92 mse_v:1.74 psnr_avg:41.95 psnr_y:40.88 psnr_u:45.29 psnr_v:45.72 
n:136 mse_avg:2.57 mse_y:3.13 mse_u:1.55 mse_v:1.33 psnr_avg:44.03 psnr_y:43.17 psnr_u:46.24 psnr_v:46.89 
n:137 mse_avg:4.45 mse_y:5.87 mse_u:1.68 mse_v:1.57 psnr_avg:41.64 psnr_y:40.44 psnr_u:45.89 psnr_v:46.18 
n:138 mse_avg:4.65 mse_y:6.09 mse_u:1.85 mse_v:1.67 psnr_avg:41.46 psnr_y:40.29 psnr_u:45.46 psnr_v:45.89 
n:139 mse_avg:4.89 mse_y:6.45 mse_u:1.85 mse_v:1.68 psnr_avg:41.24 psnr_y:40.04 psnr_u:45.46 psnr_v:45.89 
n:140 mse_avg:3.91 mse_y:5.00 mse_u:1.82 mse_v:1.62 psnr_avg:42.21 psnr_y:41.14 psnr_u:45.53 psnr_v:46.02 
n:141 mse_avg:4.74 mse_y:6.20 mse_u:1.92 mse_v:1.72 psnr_avg:41.37 psnr_y:40.21 psnr_u:45.29 psnr_v:45.78 
n:142 mse_avg:2.75 mse_y:3.36 mse_u:1.62 mse_v:1.43 psnr_avg:43.74 psnr_y:42.87 psnr_u:46.05 psnr_v:46.57 
n:143 mse_avg:3.72 mse_y:4.75 mse_u:1.75 mse_v:1.57 psnr_avg:42.43 psnr_y:41.36 psnr_u:45.71 psnr_v:46.18 
n:144 mse_avg:3.83 mse_y:4.92 mse_u:1.76 mse_v:1.56 psnr_avg:42.30 psnr_y:41.21 psnr_u:45.67 psnr_v:46.21 
n:145 mse_avg:3.36 mse_y:4.22 mse_u:1.73 mse_v:1.55 psnr_avg:42.87 psnr_y:41.88 psnr_u:45.76 psnr_v:46.23 
n:146 mse_avg:4.10 mse_y:5.29 mse_u:1.77 mse_v:1.66 psnr_avg:42.01 psnr_y:40.90 psnr_u:45.66 psnr_v:45.94 
n:147 mse_avg:4.19 mse_y:5.39 mse_u:1.85 mse_v:1.71 psnr_avg:41.91 psnr_y:40.82 psnr_u:45.45 psnr_v:45.80 
n:148 mse_avg:4.46 mse_y:5.78 mse_u:1.90 mse_v:1.77 psnr_avg:41.63 psnr_y:40.51 psnr_u:45.34 psnr_v:45.65 
n:149 mse_avg:4.57 mse_y:5.93 mse_u:1.92 mse_v:1.80 psnr_avg:41.53 psnr_y:40.40 psnr_u:45.29 psnr_v:45.58 
n:150 mse_avg:3.59 mse_y:4.50 mse_u:1.86 mse_v:1.68 psnr_avg:42.58 psnr_y:41.60 psnr_u:45.44 psnr_v:45.87 
n:151 mse_avg:2.93 mse_y:3.44 mse_u:2.09 mse_v:1.74 psnr_avg:43.46 psnr_y:42.77 psnr_u:44.92 psnr_v:45.72 
n:152 mse_avg:4.37 mse_y:5.32 mse_u:2.79 mse_v:2.12 psnr_avg:41.73 psnr_y:40.87 psnr_u:43.67 psnr_v:44.86 
n:153 mse_avg:4.58 mse_y:5.60 mse_u:2.91 mse_v:2.21 psnr_avg:41.52 psnr_y:40.65 psnr_u:43.50 psnr_v:44.70 
n:154 mse_avg:4.70 mse_y:5.77 mse_u:2.90 mse_v:2.22 psnr_avg:41.41 psnr_y:40.52 psnr_u:43.51 psnr_v:44.67 
n:155 mse_avg:3.71 mse_y:4.46 mse_u:2.48 mse_v:1.96 psnr_avg:42.43 psnr_y:41.64 psnr_u:44.19 psnr_v:45.21 
n:156 mse_avg:4.66 mse_y:5.70 mse_u:2.95 mse_v:2.16 psnr_avg:41.45 psnr_y:40.57 psnr_u:43.43 psnr_v:44.78 
n:157 mse_avg:4.76 mse_y:5.86 mse_u:2.92 mse_v:2.20 psnr_avg:41.36 psnr_y:40.45 psnr_u:43.48 psnr_v:44.70 
n:158 mse_avg:4.99 mse_y:6.15 mse_u:3.11 mse_v:2.26 psnr_avg:41.15 psnr_y:40.24 psnr_u:43.21 psnr_v:44.58 
n:159 mse_avg:5.01 mse_y:6.19 mse_u:3.10 mse_v:2.21 psnr_avg:41.13 psnr_y:40.21 psnr_u:43.22 psnr_v:44.69 
n:160 mse_avg:3.78 mse_y:4.55 mse_u:2.52 mse_v:1.95 psnr_avg:42.36 psnr_y:41.55 psnr_u:44.12 psnr_v:45.23 
n:161 mse_avg:4.66 mse_y:5.72 mse_u:2.93 mse_v:2.17 psnr_avg:41.45 psnr_y:40.56 psnr_u:43.46 psnr_v:44.76 
n:162 mse_avg:4.76 mse_y:5.78 mse_u:3.12 mse_v:2.34 psnr_avg:41.35 psnr_y:40.51 psnr_u:43.19 psnr_v:44.43 
n:163 mse_avg:4.88 mse_y:5.94 mse_u:3.14 mse_v:2.39 psnr_avg:41.25 psnr_y:40.40 psnr_u:43.17 psnr_v:44.36 
n:164 mse_avg:4.83 mse_y:5.90 mse_u:3.04 mse_v:2.37 psnr_avg:41.29 psnr_y:40.42 psnr_u:43.30 psnr_v:44.39 
n:165 mse_avg:3.78 mse_y:4.54 mse_u:2.48 mse_v:2.01 psnr_avg:42.36 psnr_y:41.56 psnr_u:44.19 psnr_v:45.10 
