n:150 mse_avg:16.00 mse_y:22.07 mse_u:4.22 mse_v:3.48 psnr_avg:36.09 psnr_y:34.69 psnr_u:41.87 psnr_v:42.72 
n:151 mse_avg:3.12 mse_y:3.92 mse_u:1.89 mse_v:1.13 psnr_avg:43.19 psnr_y:42.20 psnr_u:45.36 psnr_v:47.59 
n:152 mse_avg:8.37 mse_y:11.53 mse_u:2.54 mse_v:1.56 psnr_avg:38.90 psnr_y:37.51 psnr_u:44.09 psnr_v:46.21 
n:153 mse_avg:8.92 mse_y:12.17 mse_u:2.87 mse_v:1.98 psnr_avg:38.63 psnr_y:37.28 psnr_u:43.55 psnr_v:45.16 
n:154 mse_avg:11.51 mse_y:15.53 mse_u:3.95 mse_v:2.98 psnr_avg:37.52 psnr_y:36.22 psnr_u:42.17 psnr_v:43.38 
n:155 mse_avg:15.59 mse_y:21.16 mse_u:4.91 mse_v:4.03 psnr_avg:36.20 psnr_y:34.88 psnr_u:41.22 psnr_v:42.07 
n:156 mse_avg:16.56 mse_y:22.49 mse_u:4.95 mse_v:4.46 psnr_avg:35.94 psnr_y:34.61 psnr_u:41.18 psnr_v:41.64 
n:157 mse_avg:18.34 mse_y:25.07 mse_u:5.32 mse_v:4.42 psnr_avg:35.50 psnr_y:34.14 psnr_u:40.87 psnr_v:41.68 
n:158 mse_avg:20.38 mse_y:28.14 mse_u:5.49 mse_v:4.23 psnr_avg:35.04 psnr_y:33.64 psnr_u:40.73 psnr_v:41.87 
n:159 mse_avg:22.73 mse_y:31.21 mse_u:6.72 mse_v:4.79 psnr_avg:34.57 psnr_y:33.19 psnr_u:39.86 psnr_v:41.32 
n:160 mse_avg:22.67 mse_y:31.18 mse_u:6.58 mse_v:4.75 psnr_avg:34.58 psnr_y:33.19 psnr_u:39.95 psnr_v:41.36 
n:161 mse_avg:20.83 mse_y:28.53 mse_u:6.49 mse_v:4.40 psnr_avg:34.94 psnr_y:33.58 psnr_u:40.01 psnr_v:41.70 
n:162 mse_avg:19.29 mse_y:26.32 mse_u:6.34 mse_v:4.12 psnr_avg:35.28 psnr_y:33.93 psnr_u:40.11 psnr_v:41.99 
n:163 mse_avg:17.91 mse_y:24.30 mse_u:6.33 mse_v:3.94 psnr_avg:35.60 psnr_y:34.28 psnr_u:40.12 psnr_v:42.17 
n:164 mse_avg:17.44 mse_y:23.63 mse_u:6.20 mse_v:3.92 psnr_avg:35.72 psnr_y:34.40 psnr_u:40.21 psnr_v:42.20 
n:165 mse_avg:16.29 mse_y:21.99 mse_u:5.98 mse_v:3.79 psnr_avg:36.01 psnr_y:34.71 psnr_u:40.37 psnr_v:42.34 
n:166 mse_avg:4.79 mse_y:6.11 mse_u:2.73 mse_v:1.56 psnr_avg:41.33 psnr_y:40.27 psnr_u:43.77 psnr_v:46.21 
n:167 mse_avg:10.50 mse_y:14.51 mse_u:3.19 mse_v:1.79 psnr_avg:37.92 psnr_y:36.51 psnr_u:43.10 psnr_v:45.60 
n:168 mse_avg:10.01 mse_y:13.59 mse_u:3.55 mse_v:2.14 psnr_avg:38.13 psnr_y:36.80 psnr_u:42.63 psnr_v:44.83 
